Front,Back
linia przerywana,dashed line [sound:sapi5js-0fa32514-8657e8b8-502636d7-c9243191-33dad9d1.mp3]
Rzadko rarelly<div>NOT OFTEN&nbsp;</div>,Seldom [sound:sapi5js-3541b9cb-655366c3-6c47c15f-030d120f-8785306a.mp3]<br>
zawarte<div><br></div><div>Includes&nbsp;<br><div><br></div><div>Hold&nbsp;<br><div><br></div><div><b>not requiring help or support from anyone or anything else</b><br></div></div></div>,contained [sound:sapi5js-ebd85ca6-3fbde6bc-1a0bcb3c-809e0e94-c8105580.mp3]<div><br></div><div><b>Self contained</b>&nbsp;</div>
"Więcej złych wiadomości wynika czasem z lepszego nadzoru nad cierpieniem, a nie z pogarszającego się świata","More bad news is sometimes due to better surveillance of suffering, not a worsening world [sound:sapi5js-5ad46810-94d857a6-8f2695ba-c35cc539-41ce294e.mp3]"
"wytrwałość persistence<div><img src=""image-7fae6f7f904fe1ace5832df86d9eb0f5864a03ff.jpg""><br></div><div><img src=""image-3d0367440b42620bf75016e1e460f7d5107afac3.jpg""><br></div>",perseverance [sound:sapi5js-749e9b4e-4265e08d-f8a6fad5-db4d6680-0f1f7392.mp3]<br><br>
globalne obciążenie chorobami,global burden of disease [sound:sapi5js-80cf3e7e-1c120a55-15a789fb-ba1bad55-091161de.mp3]
Kiedy trzymamy się zabarwionej na różowo wersji historii,When we hang on to a rose-tinted version of history [sound:sapi5js-5830d304-72cb9b6a-6595fb46-d3d7c24e-a8d40f63.mp3]
Zły i lepszy,Bad and Better [sound:sapi5js-1ebb4950-f6a1c495-bf19d696-8ea16bfd-2f87e845.mp3]
Utrata nadziei jest prawdopodobnie najbardziej niszczycielską konsekwencją instynktu negatywności i powodowanej przez niego ignorancji,The loss of hope is probably the most devastating consequence of the negativity instinct and the ignorance it causes [sound:sapi5js-80b62d25-dc64d779-353f945e-78433578-879dccc9.mp3]
popieranie drastycznych środków,supporting drastic measures [sound:sapi5js-0674d87c-ab82d934-6793bc99-684e01d0-dfb9bb19.mp3]
męskich szowinistów,male chauvinists [sound:sapi5js-68cc7b3c-df9909ab-76fddecb-64e076de-078ecb4c.mp3]
iluzja ciągłego pogarszania się.,illusion of constant deterioration. [sound:sapi5js-535c8068-33f44024-eb65b99d-ebe02ac5-b8cc1a88.mp3]
skakanie po kanałach telewizyjnych,zapping through TV channels [sound:sapi5js-d983c44a-5c5729f0-9915bb67-51139e12-9298e36a.mp3]
sierp,sickle [sound:sapi5js-f06601e8-441fa9c0-e9008286-9a1e009d-14216aaf.mp3]
wypisać ale tax rozladowac,discharge [sound:sapi5js-82cd4bad-ab1ec161-1e1d517b-86893396-f847ac97.mp3]
przywilej privilege&nbsp;,prerogative [sound:sapi5js-e761e514-7ddd6c48-379ba3c3-0c96f264-ff00b5b9.mp3]<br><br>
miłosiernie,mercifully [sound:sapi5js-20f171c5-a61013f4-62b44dbb-a34d4698-1cc7b0ab.mp3]
"solidny, solid<div><img src=""image-3c7fcaef2b0e9574e4a2e761a9152f972071f922.jpg""><br></div>",robust [sound:sapi5js-5aec03c0-4c6a3ffc-40cfa9de-84e13688-195b7de3.mp3]<br>
"odmrożenie<div><img src=""image-1335817777ee8cc8e0325827b98aa1cbccb0f8f5.jpg""><br></div>",frostbite [sound:sapi5js-15d61859-282ca5de-736187bc-07a5f59b-7d065b5e.mp3]
czas wolny,leisure time [sound:sapi5js-5f8cc647-c3641d88-8efae924-a415870a-2f621eaf.mp3]
wewnętrzny,intrinsic [sound:sapi5js-051336ee-b69daeee-5c722abb-be9ef40e-1b7ed735.mp3]
"Sprytne uczenie sie<br><div><img src=""image-57328cd7c455ce1aa093a659cfd5d0018625efaf.jpg""><br></div><div><img src=""image-35eb5d9d49f2728c0f2b15c2321d50cb53aa3a7a.jpg""><br></div>",stemming [sound:sapi5js-3bd7a284-b6e22553-59a3f5c4-c7301bc6-bdb8a3de.mp3]
nadzór,surveillance [sound:sapi5js-0232b9f7-b0554d26-fb50b2c5-2ea2d1f6-0db7eec4.mp3]
