english,polish,ID
ambiguity,dwuznaczność,2
forensic,kryminalistycznych,3
spared,oszczędzony,4
deteriorating,pogarszający się,5
revamping,przebudowa,6
"diversity, equity, and inclusion","różnorodność, równość i integracja",7
conduct,przeprowadzić,8
concatenate,powiązać,9
trigger,wyzwalacz,10
sustain,ponieść,11
wackos,wariaci,12
concealment,ukrywanie,13
concealed,ukryty,14
spacey,kosmiczny,15
unsatisfied.,niezadowolony.,16
affirmative,twierdzący,17
the caveat of the competition,zastrzeżenie dotyczące konkurencji,18
retard alert,ostrzeżenie dla debili,19
"despite strict gun laws, the western balkans, composed of serbia, montenegro, bosnia, albania, kosovo and north macedonia, remain awash with weapons. most are from the wars in the 1990s, but some date back even to world war one.","pomimo surowych przepisów dotyczących broni, bałkany zachodnie, składające się z serbii, czarnogóry, bośni, albanii, kosowa i macedonii północnej, wciąż są zalane bronią. większość pochodzi z wojen z lat 90., ale niektóre sięgają nawet czasów i wojny światowej.",20
parasite,pasożyt,21
callous,nieczuły,22
we should say any wiggle room whatsoever,"powinniśmy powiedzieć, że mamy jakiekolwiek pole manewru",23
why he's gonna withhold judgment steer clear of all this stuff,"dlaczego powstrzyma się od osądu, trzymaj się z daleka od tego wszystkiego",24
his predecessor and now successor,"jego poprzednik, a teraz następca",25
take a hands-off,nie dotykać,26
by upending,przez wywrócenie,27
head off any,odgoń każdego,28
travel to retreat,podróż w celu wycofania się,29
duvet,kołdra,30
pinnacle,szczyt,31
pinnacle of success,szczyt sukcesu,32
"if you fear death, why do you pursue death?","jeśli boisz się śmierci, dlaczego ją gonisz?",33
she also had a cryptic pregnancy,miała także tajemniczą ciążę,34
"reason 1: productivity could skyrocket.

we’ve been forcing ourselves into unnatural work patterns.

siffre’s findings suggest we’d be more productive with longer bursts of focus followed by deeper rest.

the 9-to-5 grind may be holding us back more than we know.","powód 1: produktywność może gwałtownie wzrosnąć.

zmuszamy się do nienaturalnych wzorców pracy.

odkrycia siffre'a sugerują, że bylibyśmy bardziej produktywni, gdyby okresy skupienia były dłuższe, a następnie nastąpił głębszy odpoczynek.

harmonia od 9 do 5 może nas powstrzymywać bardziej, niż nam się wydaje.",35
heaped” tablespoon,łyżka stołowa czubata,36
leapt,skoczył,37
but also why your perspective is valid,ale także dlaczego twoja perspektywa jest słuszna,38
evidence is circumstantial and does not definitively prove guilt.,dowody są poszlakowe i nie dowodzą ostatecznie winy.,39
deviated septum,odchylona przegroda,40
submit move,prześlij ruch,41
implied,ukryty,42
enhance,wzmacniać,43
"women's sexual desire is significantly higher than men's.

as chanakya said

women are twice as hungry (2x), 

shyness fourfold (4x), 

audacity sixfold (6x) 

and lust eight times (8x)","pożądanie seksualne kobiet jest znacznie wyższe niż mężczyzn.

jak powiedział chanakya

kobiety są dwa razy bardziej głodne (2x), 

nieśmiałe czterokrotnie (4x), 

odważne sześciokrotnie (6x) 

a pożądanie osiem razy (8x)",44
parse it,przetworzyć to,45
before it tries to parse it,zanim spróbuje to przeanalizować,46
we need to dismiss all of these modal pop-ups.,musimy zamknąć wszystkie te wyskakujące okienka.,47
"lenient laws on juvenile crime,","łagodne prawo dotyczące przestępczości nieletnich,",48
scold,nakrzyczeć,49
preventable,można zapobiec,50
throwaway,wyrzucać,51
exhausted,wyczerpany,52
munitions,amunicja,53
altering,zmiana,54
attainable attainable,osiągalny osiągalny,55
revenue,przychód,56
enhance interrogation technique,udoskonalić technikę przesłuchań,57
make it on time,zdążyć,58
distortion,zniekształcenie,59
collateral against the victim,zabezpieczenie przeciwko ofierze,60
illicit,nielegalny,61
ruth,litość,62
scooted,skoki,63
squinting when reading,mrużenie oczu podczas czytania,64
"you'll see the atom editor in some of the videos, this software is now being sunsetted by github and in the coming months all the videos will update to use vs code. but if you hear me say ""open atom"" or ""inside the atom editor do..."" just know that you should now use vs code.","w niektórych filmach zobaczysz edytor atom, to oprogramowanie jest obecnie wycofywane przez github, a w nadchodzących miesiącach wszystkie filmy zostaną zaktualizowane, aby używać vs code. ale jeśli usłyszysz, jak mówię „otwórz atom” lub „wewnątrz edytora atom zrób...” wiedz, że powinieneś teraz używać vs code.",65
mitten,rękawica,66
persevered,wytrwały,67
swish,śmigać,68
gripping pages,strony trzymające w napięciu,69
token have surget,token ma wzrost,70
surget,wzburzyć,71
defiant,wyzywający,72
"should tumble and fall
or the mountains
should crumble to the sea","powinny się przewrócić i spaść
albo góry
powinny się rozsypać do morza",73
a girls body in china was riddled with parasites after eating raw pork for 10 years,ciało dziewczynki w chinach było pełne pasożytów po 10 latach jedzenia surowej wieprzowiny,74
